GEOID20,STATEFP20,STATE,COUNTYFP20,COUNTY,C_TOT21,CTOTMOE,C_NHS21,CNHSMOE,C_AIA21,CAIAMOE,C_ASN21,CASNMOE,C_BLK21,CBLKMOE,C_NHP21,CNHPMOE,C_WHT21,CWHTMOE,C_AIW21,CAIWMOE,C_ASW21,CASWMOE,C_BLW21,CBLWMOE,C_AIB21,CAIBMOE,C_2OM21,C2OMMOE,C_HSP21,CHSPMOE,CVAP_TOT21,CVAPTOTMOE,CVAP_NHS21,CVAPNHSMOE,CVAP_AIA21,CVAPAIAMOE,CVAP_ASN21,CVAPASNMOE,CVAP_BLK21,CVAPBLKMOE,CVAP_NHP21,CVAPNHPMOE,CVAP_WHT21,CVAPWHTMOE,CVAP_AIW21,CVAPAIWMOE,CVAP_ASW21,CVAPASWMOE,CVAP_BLW21,CVAPBLWMOE,CVAP_AIB21,CVAPAIBMOE,CVAP_2OM21,CVAP2OMMOE,CVAP_HSP21,CVAPHSPMOE,ALL_TOT21,ALLTOTMOE,ALL_NHS21,ALLNHSMOE,ALL_AIA21,ALLAIAMOE,ALL_ASN21,ALLASNMOE,ALL_BLK21,ALLBLKMOE,ALL_NHP21,ALLNHPMOE,ALL_WHT21,ALLWHTMOE,ALL_AIW21,ALLAIWMOE,ALL_ASW21,ALLASWMOE,ALL_BLW21,ALLBLWMOE,ALL_AIB21,ALLAIBMOE,ALL_2OM21,ALL2OMMOE,ALL_HSP21,ALLHSPMOE,VAP_TOT21,VAPTOTMOE,VAP_NHS21,VAPNHSMOE,VAP_AIA21,VAPAIAMOE,VAP_ASN21,VAPASNMOE,VAP_BLK21,VAPBLKMOE,VAP_NHP21,VAPNHPMOE,VAP_WHT21,VAPWHTMOE,VAP_AIW21,VAPAIWMOE,VAP_ASW21,VAPASWMOE,VAP_BLW21,VAPBLWMOE,VAP_AIB21,VAPAIBMOE,VAP_2OM21,VAP2OMMOE,VAP_HSP21,VAPHSPMOE
34001,34, New Jersey,001,Atlantic County,254730,1610,213525,956,1220,234.35,19935,833.74,39985,1405.44,120,45,151310,431,355,123,1825,481,4595,945,380,153,1335,472,41205,1360,198230,1360,173190,849,1025,200.19,14330,598.38,29800,908.91,110,43,127450,420,305,104,795,270,1760,535,330,131,810,276,25035,1112,273865,0,220745,0,1245,231.66,23720,695.84,41485,1304.39,130,45,153155,31,355,123,1960,486,4595,945,380,153,1395,478,53120,0,215545,26,179885,26,1035,197.49,17810,427.69,31115,750.66,115,45,129265,31,305,104,925,286,1760,535,330,131,870,282,35660,0
34003,34, New Jersey,003,Bergen County,850020,3519,684840,2533,2470,429.67,124565,2527.92,52565,1218.6,200,55,503365,1666,625,158,7765,954,4000,679,730,367,2405,630,165180,2339,656405,3017,539700,2148,1695,272.23,91240,1876.38,40390,857.88,185,58,405585,1434,430,123,2820,491,2315,438,395,207,1010,287,116705,2101,952980,0,753310,0,2575,429.79,166100,1468.38,56775,1075.61,245,61,525740,31,635,157,7950,985,4070,683,730,368,2595,654,199670,0,749835,28,601660,29,1780,271.15,129140,718.49,44205,660.22,220,52,425510,31,435,123,2940,501,2385,435,400,208,1205,327,148180,0
34005,34, New Jersey,005,Burlington County,444450,1206,407730,1202,2175,272.97,22620,1032.85,79555,1393.69,165,154,301200,797,1375,78,4045,575,6640,967,625,250,2630,543,36720,571,349195,1033,324420,1026,1700,213.8,15345,810.45,61120,1130.79,125,107,244695,687,1035,67,1990,374,3840,760,505,192,1940,441,24775,559,460100,0,420375,0,2180,271.14,28395,844.3,82005,1363.1,165,154,305600,31,1375,78,4260,593,6695,970,630,248,2660,547,39725,0,363830,74,336140,72,1705,213.8,20735,587.66,63235,1091.83,125,107,248890,31,1035,67,2205,421,3895,764,510,192,1965,444,27695,0
34007,34, New Jersey,007,Camden County,496380,1911,417270,1129,2330,345.11,26265,1017.75,99330,1523.4,120,50,287500,794,1280,138,2700,579,4940,859,800,291,2530,609,79110,1530,380010,1630,330575,1036,1915,302.26,18890,730.15,73805,994.64,100,45,235375,743,1025,88,1095,271,2540,539,740,279,1225,284,49440,1238,521195,0,429160,0,2375,349.99,33410,831.01,100835,1419.96,120,50,290675,31,1280,138,2875,576,4955,861,800,291,2550,610,92035,0,401880,15,341175,15,1950,303.56,25030,417.06,75275,907.3,100,44,238315,31,1025,88,1240,279,2555,542,740,279,1245,281,60705,0
34009,34, New Jersey,009,Cape May County,93035,429,86695,272,425,70.87,1035,247.49,4470,417.9,0,31,80625,182,330,37,515,174,1090,285,60,47,195,154,6340,336,76505,357,73040,201,370,72.01,755,142.84,3330,299.42,0,31,68570,170,290,44,350,102,495,190,50,45,70,61,3465,302,95490,0,87655,0,425,70.87,1235,239.11,4700,417.9,0,31,81155,31,330,37,515,174,1090,285,60,47,195,154,7835,0,78680,40,73870,41,370,72.01,880,136.03,3535,278.08,0,31,69075,31,290,44,350,102,495,190,50,45,70,61,4810,0
34011,34, New Jersey,011,Cumberland County,144525,1140,103230,765,1605,272.03,1805,426.48,30060,1027.76,45,49,69345,373,540,182,220,168,1925,647,210,94,585,345,41290,843,108070,952,83440,557,1300,171.86,1335,204.96,22455,731.84,45,49,58055,302,395,108,100,69,1145,437,185,84,435,313,24630,781,154920,0,105480,0,1605,272.03,2500,238.3,30720,1000.03,45,49,70235,31,540,182,220,168,1940,649,210,94,585,345,49440,0,117365,0,85275,0,1300,171.86,1795,97.58,23075,708.1,45,49,58805,31,395,108,100,69,1160,438,185,84,435,313,32090,0
34013,34, New Jersey,013,Essex County,738735,3915,584635,3039,3290,492.55,40570,1329.24,298675,3028.32,270,113,240095,1583,1040,269,4375,629,5615,1174,945,312,2685,558,154100,2382,548655,3121,448600,2339,2515,398.04,28550,981.62,224575,2215.62,240,88,191680,1437,845,213,1535,320,3370,906,740,261,1780,396,100050,2039,852720,0,650975,0,3370,495.64,52470,891.66,333405,1904.49,270,113,259650,31,1040,269,4605,630,5965,1253,980,316,2780,568,201745,0,648680,33,505900,33,2600,404.38,39495,482.85,252945,1481.05,240,88,209530,31,845,213,1725,324,3685,976,780,269,1875,402,142775,0
34015,34, New Jersey,015,Gloucester County,295085,739,276930,517,1070,237.36,9540,579.01,33885,1138.57,65,98,232160,371,675,126,1485,381,3970,797,200,156,415,198,18150,478,229445,699,218070,488,735,141.0,6455,426.38,24965,828.86,45,70,185760,359,525,94,755,276,1845,557,75,47,175,84,11375,442,300820,0,280425,0,1070,237.36,11130,537.4,34345,1135.77,65,98,233600,31,675,126,1485,381,3970,797,200,156,415,198,20400,0,234915,0,221450,0,735,141.0,7965,393.87,25425,814.93,45,70,187170,31,525,94,755,276,1845,557,75,47,175,84,13470,0
34017,34, New Jersey,017,Hudson County,561030,4325,331485,2394,2355,511.62,66865,1924.86,74680,1369.68,60,54,186340,1459,965,334,4610,674,4645,796,370,186,1560,340,229545,3219,427590,3756,263380,2257,1855,381.8,48790,1649.05,56070,893.55,60,54,155790,1274,810,287,2070,430,2275,358,335,174,1160,315,164215,2737,713265,0,410240,0,2390,516.21,118415,1061.99,81885,1118.66,80,72,206120,31,980,340,5095,688,4840,781,370,186,1720,353,303025,0,566885,197,335785,197,1885,386.15,96435,719.82,62425,568.76,80,72,174040,31,825,294,2445,446,2455,343,335,174,1260,309,231100,0
34019,34, New Jersey,019,Hunterdon County,124055,538,116780,446,355,71.85,5410,426.3,3610,257.86,70,68,107160,380,260,29,805,239,170,142,65,59,240,164,7275,380,99645,506,94940,440,280,66.72,3765,316.06,2995,269.43,65,69,87685,353,195,23,280,154,115,90,65,59,220,158,4705,320,128805,0,119695,0,355,71.85,6545,362.08,3705,248.56,70,68,108845,31,260,29,805,239,175,149,65,59,240,164,9110,0,103970,215,97575,214,280,66.72,4735,263.65,3080,265.76,65,69,89265,31,195,23,280,154,115,90,65,59,220,158,6395,0
